DATE,TIME,NB_ JUNCTIONS,NB_speed,NB_traffic_conditions,SB_JUNCTIONS,SB_speed,SB_traffic_conditions,DAYS
22/02/2022,6,J42 - J43|44,66,None,J43|44 - J42,64,None,Tuesday
22/02/2022,6,J41 - J42,65,None,J42 - J41,62,None,Tuesday
22/02/2022,6,J40 - J41,62,None,J41 - J40,65,None,Tuesday
22/02/2022,6,J39- J40,64,None,J40 - J39,70,None,Tuesday
22/02/2022,6,J38 - J39,68,None,J39 - J38,70,None,Tuesday
22/02/2022,6,J37 - J38,64,None,J38 - J37,67,None,Tuesday
22/02/2022,6,J36 - J37,64,None,J37 - J36,68,None,Tuesday
22/02/2022,6,J35A - J36,68,None,J36 - J35A,65,None,Tuesday
22/02/2022,6,J35 - J35A,66,None,J35A - J35,70,None,Tuesday
22/02/2022,6,J34 - J35,68,None,J35 - J34,70,None,Tuesday
22/02/2022,6,J33 - J34,63,None,J34 - J33,62,None,Tuesday
22/02/2022,6,J32 - J33,63,None,J33 - J32,67,None,Tuesday
22/02/2022,6,J31 - J32,70,None,J32 - J31,66,None,Tuesday
22/02/2022,6,J30 - J31,67,None,J31 - J30,65,None,Tuesday
22/02/2022,6,J29A - J30,65,None,J30 - J29A,50,None,Tuesday
22/02/2022,6,J29 - J29A,61,None,J29A - J29,67,None,Tuesday
22/02/2022,6,J28 - J29,69,None,J29 - J28,68,None,Tuesday
22/02/2022,6,J27 - J28,69,None,J28 - J27,66,None,Tuesday
22/02/2022,6,J26 - J27,67,None,J27 - J26,66,None,Tuesday
22/02/2022,6,J25 - J26,68,None,J26 - J25,68,None,Tuesday
22/02/2022,6,J24A -J25,65,None,J25 - J24A,66,None,Tuesday
22/02/2022,6,J24 - J24A,64,None,J24A - J24,65,None,Tuesday
22/02/2022,6,J23A - J24,59,None,J24 - J23A,60,None,Tuesday
22/02/2022,6,J23 - J23A,57,None,J23A - J23,63,None,Tuesday
22/02/2022,6,J22 - J23,70,None,J23 - J22,64,None,Tuesday
22/02/2022,6,J21A - J22,68,None,J22 - J21A,65,None,Tuesday
22/02/2022,6,J21- J21A,61,None,J21A - J21,58,None,Tuesday
22/02/2022,6,J20 - J21,68,None,J21 - J20,69,None,Tuesday
22/02/2022,6,J19 - J20,70,None,J20 - J19,70,None,Tuesday
22/02/2022,6,J18 - J19,68,None,J19 - J18,66,None,Tuesday
22/02/2022,6,J17 - J18,63,None,J18 - J17,62,None,Tuesday
22/02/2022,6,J16 - J17,61,None,J17 - J16,63,None,Tuesday
22/02/2022,6,J15A - J16,56,None,J16 - J15A,55,None,Tuesday
22/02/2022,6,J15 - J15A,58,None,J15A - J15,54,None,Tuesday
22/02/2022,6,J14 - J15,58,None,J15 - J14,58,None,Tuesday
22/02/2022,6,J13 - J14,68,None,J14 - J13,64,None,Tuesday
22/02/2022,6,J12 - J13,66,None,J13 - J12,61,None,Tuesday
22/02/2022,6,J11A -  J12,67,None,J12 - J11A,41,None,Tuesday
22/02/2022,6,J11 - J11A,66,None,J11A - J11,14,None,Tuesday
22/02/2022,6,J10 - J11,61,None,J11 - J10,37,None,Tuesday
22/02/2022,6,J9 - J10,66,None,J10 - J9,35,None,Tuesday
22/02/2022,6,J8 -J9,65,None,J9 - J8,45,None,Tuesday
22/02/2022,6,J7 - J8,62,None,J8 - J7,61,None,Tuesday
22/02/2022,6,J6A -  J7,68,None,J7 - J6A,63,None,Tuesday
22/02/2022,6,J6 - J6A,70,None,J6A - J6,68,None,Tuesday
22/02/2022,6,J5 - J6,70,None,J6 - J5,65,None,Tuesday
22/02/2022,6,J4 - J5,70,None,J5 - J4,62,None,Tuesday
22/02/2022,6,J2 - J4,69,None,J4 - J2,69,None,Tuesday
22/02/2022,6,J1 - J2,67,None,J2 - J1,46,None,Tuesday
22/02/2022,9,J47- J48,70,None,J48 - J47,70,None,Tuesday
22/02/2022,9,J46 - J47,70,None,J47 - J46,70,None,Tuesday
22/02/2022,9,J45 -J46,70,None,J46 - J45,70,None,Tuesday
22/02/2022,9,J43|44 - J45,70,None,J45 - J43|44,70,Roadworks,Tuesday
22/02/2022,9,J42 - J43|44,69,None,J43|44 - J42,69,None,Tuesday
22/02/2022,9,J41 - J42,68,None,J42 - J41,65,None,Tuesday
22/02/2022,9,J40 - J41,69,None,J41 - J40,70,None,Tuesday
22/02/2022,9,J39- J40,70,None,J40 - J39,68,None,Tuesday
22/02/2022,9,J38 - J39,69,None,J39 - J38,70,None,Tuesday
22/02/2022,9,J37 - J38,70,None,J38 - J37,70,None,Tuesday
22/02/2022,9,J36 - J37,70,None,J37 - J36,70,None,Tuesday
